Category;Family;StyleName;Slope
serif;Abstract;Abstract Regular;90.0
serif;Abstract;Abstract Semi Bold Italic;93.0
serif;Abstract;Abstract Semi Bold;90.0
serif;Abstract;Abstract Thin Italic;93.0
serif;Abstract;Abstract Thin;90.0
serif;Abygaer;Abygaer Regular;90.0
serif;Academy Engraved™;Academy Engraved Com Regular;90.0
serif;Academy Engraved™;Academy Engraved Std Regular;90.0
serif;Academy;Academy Bold Italic;100.99999904632568
serif;Academy;Academy Bold;90.0
serif;Academy;Academy Italic;100.99999904632568
serif;Academy;Academy;90.0
serif;Accia Forte;Accia Forte Bold Italic;100.99999904632568
serif;Accia Forte;Accia Forte Bold;90.0
serif;Accia Forte;Accia Forte Extra Bold Italic;100.99999904632568
serif;Accia Forte;Accia Forte Extra Bold;90.0
serif;Accia Forte;Accia Forte Extra Light Italic;100.99999904632568
serif;Accia Forte;Accia Forte Extra Light;90.0
serif;Accia Forte;Accia Forte Italic;100.99999904632568
serif;Accia Forte;Accia Forte Light Italic;100.99999904632568
serif;Accia Forte;Accia Forte Light;90.0
serif;Accia Forte;Accia Forte Medium Italic;100.99999904632568
serif;Accia Forte;Accia Forte Medium;90.0
serif;Accia Forte;Accia Forte Regular;90.0
serif;Accia Forte;Accia Forte Semi Bold Italic;100.99999904632568
serif;Accia Forte;Accia Forte Semi Bold;90.0
serif;Accia Forte;Accia Forte Thin Italic;100.99999904632568
serif;Accia Forte;Accia Forte Thin;90.0
serif;Accia Moderato;Accia Moderato Bold Italic;100.99999904632568
serif;Accia Moderato;Accia Moderato Bold;90.0
serif;Accia Moderato;Accia Moderato Extra Bold Italic;100.99999904632568
serif;Accia Moderato;Accia Moderato Extra Bold;90.0
serif;Accia Moderato;Accia Moderato Extra Light Italic;100.99999904632568
serif;Accia Moderato;Accia Moderato Extra Light;90.0
serif;Accia Moderato;Accia Moderato Italic;100.99999904632568
serif;Accia Moderato;Accia Moderato Light Italic;100.99999904632568
serif;Accia Moderato;Accia Moderato Light;90.0
serif;Accia Moderato;Accia Moderato Medium Italic;100.99999904632568
serif;Accia Moderato;Accia Moderato Medium;90.0
serif;Accia Moderato;Accia Moderato Regular;90.0
serif;Accia Moderato;Accia Moderato Semi Bold Italic;100.99999904632568
serif;Accia Moderato;Accia Moderato Semi Bold;90.0
serif;Accia Moderato;Accia Moderato Thin Italic;99.99999904632568
serif;Accia Moderato;Accia Moderato Thin;90.0
serif;Accia Piano;Accia Piano Bold Italic;99.99999904632568
serif;Accia Piano;Accia Piano Bold;90.0
serif;Accia Piano;Accia Piano Extra Bold Italic;100.99999904632568
serif;Accia Piano;Accia Piano Extra Bold;90.0
serif;Accia Piano;Accia Piano Extra Light Italic;100.99999904632568
serif;Accia Piano;Accia Piano Extra Light;90.0
serif;Accia Piano;Accia Piano Italic;100.99999904632568
serif;Accia Piano;Accia Piano Light Italic;99.99999904632568
serif;Accia Piano;Accia Piano Light;90.0
serif;Accia Piano;Accia Piano Medium Italic;100.99999904632568
serif;Accia Piano;Accia Piano Medium;90.0
serif;Accia Piano;Accia Piano Regular;90.0
serif;Accia Piano;Accia Piano Semi Bold Italic;99.99999904632568
serif;Accia Piano;Accia Piano Semi Bold;90.0
serif;Accia Piano;Accia Piano Thin Italic;99.99999904632568
serif;Accia Piano;Accia Piano Thin;90.0
serif;Accia Variable;Accia Variable Italic;100.99999904632568
serif;Accia Variable;Accia Variable Regular;90.0
serif;Accolade EF™;Accolade EF Bold;90.0
serif;Accolade EF™;Accolade EF Light Italic;102.0
serif;Accolade EF™;Accolade EF Light;90.0
serif;Accolade EF™;Accolade EF Medium;90.0
serif;Accolade Serial;Accolade Serial Bold;90.0
