Category;Family;StyleName;Slope
slab serif;Breve Slab Text;Breve Slab Text Book;90.0
slab serif;Breve Slab Text;Breve Slab Text Light Italic;99.99999904632568
slab serif;Breve Slab Text;Breve Slab Text Light;90.0
slab serif;Breve Slab Text;Breve Slab Text Medium Italic;99.99999904632568
slab serif;Breve Slab Text;Breve Slab Text Medium;90.0
slab serif;Breve Slab Text;Breve Slab Text Semi Bold Italic;99.99999904632568
slab serif;Breve Slab Text;Breve Slab Text Semi Bold;90.0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black Italic;99.0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Black;90.0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold Italic;99.0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Bold;90.0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Brix Slab Condensed;90.0
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight Italic;99.0
slab serif;Brix Slab Condensed™;Brix Slab Condensed ExtraLight;90.0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Italic;99.0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light Italic;99.0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Light;90.0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium Italic;99.0
slab serif;Brix Slab Condensed™;Brix Slab Condensed Medium;90.0
slab serif;Brix Slab™;Brix Slab Black Italic;99.99999904632568
slab serif;Brix Slab™;Brix Slab Black;90.0
slab serif;Brix Slab™;Brix Slab Bold Italic;99.99999904632568
slab serif;Brix Slab™;Brix Slab Bold;90.0
slab serif;Brix Slab™;Brix Slab Brix Slab;90.0
slab serif;Brix Slab™;Brix Slab ExtraLight Italic;99.99999904632568
slab serif;Brix Slab™;Brix Slab ExtraLight;90.0
slab serif;Brix Slab™;Brix Slab Italic;99.99999904632568
slab serif;Brix Slab™;Brix Slab Light Italic;99.99999904632568
slab serif;Brix Slab™;Brix Slab Light;90.0
slab serif;Brix Slab™;Brix Slab Medium Italic;99.99999904632568
slab serif;Brix Slab™;Brix Slab Medium;90.0
slab serif;Brossard;Brossard;90.0
slab serif;Brossard;Brossard Outline;90.0
slab serif;Brussels City;Brussels City Italic;103.99999904632568
slab serif;Brussels City;Brussels City Regular;90.0
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold Italic;102.99999904632568
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Bold;90.0
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Italic;100.99999904632568
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium Italic;102.0
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Medium;90.0
slab serif;Bulldog Hunter Std®;Bulldog Hunter Std Regular;90.0
slab serif;Bumbon;Bumbon Bold Italic;105.0
slab serif;Bumbon;Bumbon Bold;90.0
slab serif;Bumbon;Bumbon Italic;105.0
slab serif;Bumbon;Bumbon Regular;90.0
